number,option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike,cat
1,Lose the ability to read,Lose the ability to speak,87440,49538,0,1,1,0,0,0,Unspecified
2,Lose the ability to read,Lose the ability to speak,87440,49539,0,1,1,0,0,0,Unspecified
3,Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28651,0,1,1,0,0,0,Unspecified
4,Lose the ability to read,Lose the ability to speak,87440,49540,0,1,1,0,0,0,Unspecified
5,Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28652,0,1,1,0,0,0,Unspecified
6,Time travel one time and return,Control humans with your mind forever,35124,98606,0,1,1,0,0,0,Unspecified
7,Lose the ability to pee,Lose the ability to poop,52291,81324,0,1,1,0,0,0,Unspecified
8,See one day into your own future,Visit the after-life one time and return,47865,85298,0,1,1,0,0,0,Unspecified
9,Be a King/Queen of an empire 2500 years ago,Be the president/prime minister today,61347,72035,0,1,1,0,0,0,Unspecified
10,Post every text message you ever sent on the internet,Have tattoos on your forehead depicting everything you did the day before,98744,49059,0,1,1,0,0,0,Unspecified
11,Live stream your entire life for everyone to see,Anyone around you can hear your thoughts for the rest of your life,103015,44964,0,1,1,0,0,0,Unspecified
12,Live to be 400 and look 400 your entire life,Live to be 80 and look 25 your entire life,24556,108748,0,1,1,0,0,0,Unspecified
13,Never be able to use toilet paper,Never be able to brush your teeth,95894,37689,0,1,1,0,0,0,Unspecified
14,Be able to stop time whenever you wanted,Get whatever you want just by thinking it (except life),48692,84141,0,1,1,0,0,0,Unspecified
15,Randomly time travel +/- 20 years every time you pass gas,"Teleport to a different place on earth every time you sneeze (land, not water)",46656,101359,0,1,1,0,0,0,Unspecified
16,Have to scream as loud as you can before starting every conversation “I'm a Leprechaun”,Have to smack every person you have a conversation with and call them an idiot,81224,66113,0,1,1,0,0,0,Unspecified
17,Have your skin change colors based on your emotions forever,Wake up every morning with a randomly different face for a year,76130,56028,0,1,1,0,0,0,Unspecified
18,Go into the past and meet your ancestors,Go into the future and meet your great-great grandchildren,60539,71558,0,1,1,0,0,0,Unspecified
19,Be Elon Musk,Be Jeff Bezos,91573,42724,0,1,1,0,0,0,Unspecified
20,Be able to have nine lives,Be able to have $9 million dollars with one life,70850,62979,0,1,1,0,0,0,Unspecified
21,Save your spouse,Save your child,52910,97205,0,1,1,0,0,0,Unspecified
22,Never have to go to work a day in your life,Never feel tired a day in your life,57591,75528,0,1,1,0,0,0,Unspecified
23,Be the smartest person in the world,Be the wealthiest person in the world,76141,58035,0,1,1,0,0,0,Unspecified
24,Live in constant fear of being assasinated,Have a traumatic injury in your young adult life (full recovery: 5 years),38057,93433,0,1,1,0,0,0,Unspecified
25,Lick the bottom of a worn shoe,Eat from a strangers feet,96513,35507,0,1,1,0,0,0,Unspecified
26,Find the true love of your life,Be friends with all of your favorite celebrities,79576,54215,0,1,1,0,0,0,Unspecified
27,Be able to bring 3 dead people you loved back to life,Be guaranteed an extra 20 years on all of your current family member's lives,51511,80318,0,1,1,0,0,0,Unspecified
28,Be abducted by an alien,Be thrown in jail for a crime you did not commit,91612,41580,0,1,1,0,0,0,Unspecified
29,Have a mild case of COVID-19 for the rest of your life,Have a heart attack several times a year,100796,31294,0,1,1,0,0,0,Unspecified
30,Fall down a flight of stairs,Get thrown out of a moving vehicle at 50mph,97670,35398,0,1,1,0,0,0,Unspecified
31,Be able to be invisible,Be able to fly everywhere,67437,66473,0,1,1,0,0,0,Unspecified
32,Always speak your mind (including very harsh truths),Never speak up for yourself,91340,41958,0,1,1,0,0,0,Unspecified
33,Find the cure for cancer,Find the solution to world peace,65631,67679,0,1,1,0,0,0,Unspecified
