number,option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike,cat
291,Have bad breath,Have smelly feet,441,2644,0,1,1,0,0,0,
944,"marry for love, for practical purposes",never get married at all?,0,0,0,1,1,0,0,0,Deep
945,find meaning in religion,be comfortable with atheism?,0,0,0,1,1,0,0,0,Deep
946,people laughed,cried at your funeral?,0,0,0,1,1,0,0,0,Deep
947,be able to see 10 minutes into the future,be able to erase three mistakes from your past?,0,0,0,1,1,0,0,0,Deep
948,see prisons abolished,health care made free first?,0,0,0,1,1,0,0,0,Deep
949,be single for 10 years,"have three relationships in 10 years that, going into them, you knew would all end?",0,0,0,1,1,0,0,0,Deep
950,spend all the money you made in life,have something to leave behind?,0,0,0,1,1,0,0,0,Deep
951,die before,after your partner?,0,0,0,1,1,0,0,0,Deep
952,never make a new friend but keep pouring into the ones you have now,"continue to expand your circle, knowing some friendships will fall off?",0,0,0,1,1,0,0,0,Deep
953,dismantle systems of oppression from the inside,the outside?,0,0,0,1,1,0,0,0,Deep
954,Have pizza for breakfast,Have pancakes for dinner,0,0,0,1,1,0,0,0,Food
955,Eat spaghetti with meatballs,Eat tacos with all the toppings,0,0,0,1,1,0,0,0,Food
956,Have a chocolate milkshake,Have a strawberry smoothie,0,0,0,1,1,0,0,0,Food
957,Eat a big bowl of popcorn,Eat a plate of nachos with cheese,0,0,0,1,1,0,0,0,Food
958,Have a giant cookie,Have a slice of cake with sprinkles,0,0,0,1,1,0,0,0,Food
959,Snack on carrot sticks with ranch dip,Snack on celery sticks with peanut butter,0,0,0,1,1,0,0,0,Food
960,Have a hot dog at a baseball game,Have a burger at a barbecue,0,0,0,1,1,0,0,0,Food
961,Eat a rainbow of colorful fruits,Eat a plate of cheesy macaroni,0,0,0,1,1,0,0,0,Food
962,Try sushi for the first time,Eat a delicious taco,0,0,0,1,1,0,0,0,Food
963,Have a picnic with sandwiches,Have a picnic with sushi rolls,0,0,0,1,1,0,0,0,Food
964,Have a watermelon eating contest,Have a strawberry picking adventure,0,0,0,1,1,0,0,0,Food
965,Sip on lemonade,Enjoy a refreshing glass of apple cider,0,0,0,1,1,0,0,0,Food
966,Make your own pizza from scratch,Bake your own batch of cookies,0,0,0,1,1,0,0,0,Food
967,Have a banana split with all the toppings,Build your own ice cream sundae,0,0,0,1,1,0,0,0,Food
968,Try a new vegetable every day for a week,Taste a new dessert every day for a week,0,0,0,1,1,0,0,0,Food
969,Play soccer on a sunny day,Ice skate on a frozen pond,0,0,0,1,1,0,0,0,Sport
970,Win a gold medal in the Olympics,Score the winning goal in a championship game,0,0,0,1,1,0,0,0,Sport
971,Be a professional basketball player,Be a famous gymnast,0,0,0,1,1,0,0,0,Sport
972,Go surfing at the beach,Snowboard in the mountains,0,0,0,1,1,0,0,0,Sport
973,Swim with dolphins,Ride a horse,0,0,0,1,1,0,0,0,Sport
974,Play baseball in a stadium,Go rock climbing,0,0,0,1,1,0,0,0,Sport
975,Compete in a relay race,A solo marathon,0,0,0,1,1,0,0,0,Sport
976,Play tennis against a famous player,Learn a new sport from scratch,0,0,0,1,1,0,0,0,Sport
977,Score a winning touchdown,Hit a game-winning home run,0,0,0,1,1,0,0,0,Sport
978,Learn karate,Take ballet lessons,0,0,0,1,1,0,0,0,Sport
979,Play golf,Go roller skating,0,0,0,1,1,0,0,0,Sport
980,Be a star player on a team,A coach leading a championship-winning team,0,0,0,1,1,0,0,0,Sport
981,Attend a sports camp for a week,Join a dance workshop,0,0,0,1,1,0,0,0,Sport
982,Try bungee jumping,Zip-lining,0,0,0,1,1,0,0,0,Sport
983,Have a career as a professional skateboarder,A champion swimmer,0,0,0,1,1,0,0,0,Sport
984,Have a big family reunion with all your cousins,A special day with just your immediate family,0,0,0,1,1,0,0,0,Family
985,Have a family movie night,A family game night,0,0,0,1,1,0,0,0,Family
986,Go on a vacation to the beach with your family,To the mountains,0,0,0,1,1,0,0,0,Family
987,Have a picnic in the park with your family,A barbecue in the backyard,0,0,0,1,1,0,0,0,Family
988,Have a pizza party with your family,Make homemade ice cream together,0,0,0,1,1,0,0,0,Family
989,Have a sibling who is your twin,A sibling who is much older or younger,0,0,0,1,1,0,0,0,Family
990,Have a family pet that's a dog,A cat,0,0,0,1,1,0,0,0,Family
991,Have a family talent show,A family baking contest,0,0,0,1,1,0,0,0,Family
992,Have a family dance-off,A family karaoke night,0,0,0,1,1,0,0,0,Family
993,Go on a nature hike with your family,Visit a museum together,0,0,0,1,1,0,0,0,Family
994,Have a family board game tournament,A family sports day,0,0,0,1,1,0,0,0,Family
995,Have a camping trip with your family,A staycation at home with fun activities planned,0,0,0,1,1,0,0,0,Family
996,Have a family photo album filled with memories,A family scrapbook with creative artwork,0,0,0,1,1,0,0,0,Family
997,Have a family tradition of making homemade pizza every Friday night,Going on a nature walk every Sunday morning,0,0,0,1,1,0,0,0,Family
998,Have a family garden where everyone plants flowers and vegetables,A family reading nook where everyone reads together,0,0,0,1,1,0,0,0,Family
999,Have a family celebration for every member's birthday,One big celebration for everyone's birthday together,0,0,0,1,1,0,0,0,Family
1000,Have the ability to fly like a bird,Breathe underwater like a fish,0,0,0,1,1,0,0,0,Life
1001,Have a magical pet unicorn,A pet dragon,0,0,0,1,1,0,0,0,Life
1002,Explore outer space,Dive to the bottom of the ocean,0,0,0,1,1,0,0,0,Life
1003,Have the power to talk to animals,The power to turn invisible,0,0,0,1,1,0,0,0,Life
1004,Live in a treehouse,A castle,0,0,0,1,1,0,0,0,Life
1005,Discover a hidden treasure,Find a secret portal to another world,0,0,0,1,1,0,0,0,Life
1006,Be able to run as fast as a cheetah,Jump as high as a kangaroo,0,0,0,1,1,0,0,0,Life
1007,Visit a magical candy land,A dinosaur park,0,0,0,1,1,0,0,0,Life
1008,Have the ability to time travel to the past,See into the future,0,0,0,1,1,0,0,0,Life
1009,Have super strength,The ability to control the weather,0,0,0,1,1,0,0,0,Life
1010,Speak every language in the world,Play every musical instrument,0,0,0,1,1,0,0,0,Life
1011,Have a magic wand that grants wishes,A flying carpet,0,0,0,1,1,0,0,0,Life
1012,Be a famous inventor,A world-famous explorer,0,0,0,1,1,0,0,0,Life
1013,Live in a world with endless daylight,A world with never-ending nighttime,0,0,0,1,1,0,0,0,Life
1014,Have a personal robot assistant,A talking pet that gives you advice,0,0,0,1,1,0,0,0,Life
1015,Explore a dense jungle,Climb a towering mountain,0,0,0,1,1,0,0,0,Nature
1016,Have a pet panda,A pet tiger,0,0,0,1,1,0,0,0,Nature
1017,Spend a day at the beach building sandcastles,Hiking in the forest,0,0,0,1,1,0,0,0,Nature
1018,The ability to talk to animals,The ability to understand plants,0,0,0,1,1,0,0,0,Nature
1019,Camp under the stars,Sleep in a cozy cabin,0,0,0,1,1,0,0,0,Nature
1020,Swim with dolphins,Ride a horse through a meadow,0,0,0,1,1,0,0,0,Nature
1021,Have a garden filled with colorful flowers,A garden full of delicious fruits and vegetables,0,0,0,1,1,0,0,0,Nature
1022,Discover a hidden waterfall,Find a treasure chest buried in the woods,0,0,0,1,1,0,0,0,Nature
1023,Have a treehouse in the middle of a forest,A lakeside cottage,0,0,0,1,1,0,0,0,Nature
1024,A magical potion that makes you shrink to the size of an ant,Grow as tall as a tree,0,0,0,1,1,0,0,0,Nature
1025,Fly like a butterfly,Run as fast as a cheetah,0,0,0,1,1,0,0,0,Nature
1026,Visit a coral reef and see colorful fish,Explore a vast desert and see towering sand dunes,0,0,0,1,1,0,0,0,Nature
1027,Have a picnic in a field of wildflowers,Under the shade of a giant redwood tree,0,0,0,1,1,0,0,0,Nature
1028,Have a pet owl that can deliver secret messages,A pet fox that can find hidden treasures,0,0,0,1,1,0,0,0,Nature
1029,Have the power to make it rain,Make the sun shine whenever you want,0,0,0,1,1,0,0,0,Nature
1030,Have the ability to teleport,Be able to time travel,0,0,0,1,1,0,0,0,Science
