number,option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike,cat
1,Lose the ability to read,Lose the ability to speak,87440,49538,0,1,1,0,0,0,Unspecified
2,Lose the ability to read,Lose the ability to speak,87440,49539,0,1,1,0,0,0,Unspecified
3,Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28651,0,1,1,0,0,0,Unspecified
4,Lose the ability to read,Lose the ability to speak,87440,49540,0,1,1,0,0,0,Unspecified
5,Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28652,0,1,1,0,0,0,Unspecified
6,Have a superpower that helps you learn any subject instantly,Be able to visit any historical event in person,0,0,0,1,1,0,0,0,Education
7,Have a personal robot tutor,Attend a school with all your friends,0,0,0,1,1,0,0,0,Education
8,Have a library filled with every book ever written,A computer that can answer any question,0,0,0,1,1,0,0,0,Education
9,Learn about dinosaurs,Outer space,0,0,0,1,1,0,0,0,Education
10,Have a math competition with friends,A science experiment day,0,0,0,1,1,0,0,0,Education
11,Explore ancient ruins,Discover a new species of animal,0,0,0,1,1,0,0,0,Education
12,Learn to play a musical instrument,Speak a new language,0,0,0,1,1,0,0,0,Education
13,Attend a virtual reality school where you can visit any place,A school with amazing outdoor classrooms,0,0,0,1,1,0,0,0,Education
14,Have a time machine to visit famous inventors,Be able to talk to animals and learn their secrets,0,0,0,1,1,0,0,0,Education
15,Have a science lab at home,An art studio with endless art supplies,0,0,0,1,1,0,0,0,Education
16,Have a teacher who can explain any concept in a fun way,Be friends with a famous scientist,0,0,0,1,1,0,0,0,Education
17,Solve challenging puzzles,Create your own inventions,0,0,0,1,1,0,0,0,Education
18,Have a school that teaches magic,A school that teaches how to build robots,0,0,0,1,1,0,0,0,Education
19,Learn history by traveling through time,Learn geography by exploring the world,0,0,0,1,1,0,0,0,Education
20,Have a notebook that turns your drawings into real objects,A backpack that holds unlimited books,0,0,0,1,1,0,0,0,Education
